certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
PG-13,Action|Adventure|Drama,7.4000001,81.0,172167,93930000.0,243.0,2521.0,7,36,No,Yes,No,No,No
PG,Adventure|Comedy|Drama,7.0999999,71.0,60107,67330000.0,105.0,2242.0,0,1,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,5.80000019,30.0,144395,66460000.0,202.0,2174.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,7.69999981,84.0,17945,920000.0,103.0,,0,2,No,No,No,No,No
PG-13,Comedy|Drama,7.0999999,70.0,18292,2360000.0,130.0,,1,6,No,No,No,No,No
G,Animation|Comedy|Family,7.5,87.0,101556,56070000.0,210.0,,7,14,No,No,No,No,No
PG,Adventure|Comedy|Family,3.79999995,19.0,37236,100450000.0,109.0,918.0,0,0,No,No,No,No,No
R,Drama|Romance,6.80000019,60.0,11281,5710000.0,84.0,,0,1,No,No,No,No,No
R,Comedy|Drama|Romance,7.69999981,55.0,333993,59370000.0,221.0,265.0,4,14,No,No,No,No,No
R,Action|Drama|Thriller,6.5999999,48.0,96087,43430000.0,89.0,2275.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Fantasy,6.69999981,46.0,306653,242590000.0,187.0,1676.0,1,1,No,No,No,No,No
R,Drama,7.69999981,70.0,194344,16250000.0,192.0,2490.0,2,23,No,No,No,No,No
R,Drama,7.5999999,71.0,57629,13010000.0,158.0,,5,14,No,No,No,No,No
PG,Adventure|Family|Fantasy,6.9000001,64.0,55577,48420000.0,161.0,1514.0,0,1,No,No,No,No,No
PG-13,Action|Adventure,7.30000019,83.0,427065,373380000.0,294.0,1122.0,3,14,No,No,No,No,No
R,Comedy|Drama|Romance,5.9000001,44.0,80876,40200000.0,146.0,1886.0,0,3,No,No,No,No,No
G,Animation|Adventure|Comedy,7.19999981,73.0,275340,244050000.0,253.0,622.0,7,19,No,No,No,No,No
R,Crime|Drama,8.69999981,79.0,556231,7560000.0,215.0,489.0,4,10,No,No,No,No,No
PG,Comedy|Family,5.5,39.0,51019,104150000.0,80.0,2298.0,0,0,No,No,No,No,No
PG,Animation|Action|Adventure,8.0,90.0,496362,261440000.0,285.0,228.0,13,30,No,No,No,No,No
PG-13,Action|Crime|Thriller,7.0,68.0,293086,106130000.0,154.0,985.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Thriller,6.9000001,66.0,265019,133380000.0,307.0,1463.0,0,0,No,No,No,No,No
R,Crime|Drama|Fantasy,7.0,69.0,29123,8240000.0,136.0,,0,9,No,No,No,No,No
R,Adventure|Biography|Drama,7.80000019,75.0,85134,16760000.0,189.0,4223.0,3,19,No,No,No,No,No
R,Action|Horror|Sci-Fi,6.19999981,35.0,156010,50740000.0,192.0,637.0,0,0,No,No,No,No,No
PG-13,Adventure|Drama|Fantasy,8.0,58.0,358748,66260000.0,235.0,956.0,0,21,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.4000001,47.0,343004,186740000.0,238.0,863.0,1,2,No,No,No,No,No
PG,Comedy|Family|Fantasy,6.9000001,64.0,157147,173380000.0,154.0,2086.0,0,0,No,No,No,No,No
R,Action|Adventure|Drama,7.19999981,63.0,223936,47400000.0,238.0,816.0,1,1,No,No,No,No,No
R,Action|Fantasy|Thriller,7.0,42.0,215559,51480000.0,225.0,362.0,0,0,No,No,No,No,No
PG-13,Action|Crime|Thriller,5.9000001,38.0,198288,127080000.0,149.0,1662.0,0,0,No,No,No,No,No
PG,Comedy|Family|Fantasy,6.0999999,70.0,100338,110220000.0,129.0,2226.0,0,2,No,No,No,No,No
R,Drama|Romance|War,7.5,,5735,1207.0,28.0,,0,0,No,No,No,No,No
R,Horror,6.19999981,38.0,111252,80150000.0,233.0,2191.0,0,0,No,No,No,No,No
R,Action|Drama|History,7.69999981,55.0,326503,111110000.0,187.0,1421.0,0,16,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,8.0,63.0,839783,305390000.0,269.0,407.0,5,23,No,No,No,No,No
R,Crime|Drama|Mystery,8.0,84.0,347851,90140000.0,230.0,827.0,13,50,No,Yes,No,Yes,No
PG,Action|Adventure|Comedy,5.80000019,49.0,70903,24000000.0,187.0,1757.0,0,0,No,No,No,No,No
PG,Animation|Family|Fantasy,7.69999981,80.0,151828,75280000.0,315.0,1070.0,1,12,No,No,No,No,No
R,Action|Crime|Drama,7.69999981,47.0,274306,77860000.0,170.0,616.0,0,1,No,No,No,No,No
R,Drama,6.80000019,70.0,69939,4600000.0,126.0,1006.0,0,11,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.80000019,52.0,37099,43600000.0,109.0,1948.0,0,2,No,No,No,No,No
G,Animation|Adventure|Comedy,6.80000019,48.0,73916,85330000.0,113.0,4372.0,0,2,No,No,No,No,No
R,Action|Horror|Thriller,5.80000019,37.0,91648,82160000.0,268.0,900.0,0,0,No,No,No,No,No
PG-13,Drama|History|Sport,7.30000019,72.0,58634,120147445.0,174.0,4761.0,0,12,No,Yes,No,No,No
PG-13,Action|Adventure|Crime,4.30000019,37.0,53430,26080000.0,79.0,191.0,0,0,No,No,No,No,No
PG-13,Adventure|Family|Fantasy,7.69999981,81.0,405392,289990000.0,297.0,291.0,1,12,No,No,No,No,No
R,Action|Crime|Drama,6.5,33.0,127284,33680000.0,191.0,843.0,0,0,No,No,No,No,No
PG-13,Drama|Romance,7.9000001,53.0,410677,60000.0,176.0,231.0,0,1,No,No,No,No,No
PG-13,Comedy|Family|Music,7.0999999,82.0,216617,81260000.0,204.0,1005.0,0,6,No,No,No,No,No
R,Adventure,7.19999981,56.0,395204,133230000.0,219.0,333.0,0,1,No,No,No,No,No
PG-13,Biography|Drama|Romance,7.0,72.0,61969,11630000.0,158.0,3457.0,0,20,No,No,No,No,No
R,Drama,7.80000019,89.0,330944,44570000.0,263.0,1058.0,17,50,No,Yes,No,No,No
R,Drama,7.0999999,47.0,183079,370780000.0,397.0,986.0,3,5,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.69999981,66.0,93684,124590000.0,144.0,2451.0,1,5,No,No,No,No,No
PG-13,Action|Adventure|Thriller,7.19999981,69.0,342686,134520000.0,352.0,1529.0,0,0,No,No,No,No,No
R,Drama|Fantasy|Romance,8.30000019,89.0,696228,34130000.0,277.0,395.0,14,49,No,No,No,No,No
R,Comedy|Crime|Drama,7.69999981,70.0,25362,3430000.0,134.0,,1,6,No,No,No,No,No
Not Rated,Drama,7.80000019,61.0,30983,20000.0,67.0,,0,0,No,No,No,No,No
PG-13,Action|Mystery|Sci-Fi,6.30000019,43.0,91464,53790000.0,194.0,2203.0,0,0,No,No,No,No,No
G,Animation|Adventure|Family,6.5999999,61.0,129570,580000.0,183.0,3126.0,0,7,No,No,No,No,No
PG-13,Action|Adventure,6.0,35.0,202387,120030000.0,233.0,1261.0,0,0,No,No,No,No,No
PG-13,Biography|Drama,7.5,77.0,272977,102610000.0,266.0,664.0,22,66,No,Yes,No,No,No
PG,Adventure|Comedy|Family,6.80000019,62.0,164113,118630000.0,186.0,5.0,5,10,No,No,No,No,No
R,Comedy|Drama|Romance,7.0999999,65.0,10852,7740000.0,93.0,4015.0,2,7,No,No,No,No,No
R,Biography|Crime|Drama,7.30000019,74.0,108623,34470000.0,184.0,638.0,4,10,No,No,No,No,Yes
PG-13,Comedy|Romance,6.80000019,48.0,273503,120780000.0,146.0,1306.0,1,1,No,No,No,No,No
R,Drama|History|Thriller,6.69999981,61.0,88382,59900000.0,195.0,2015.0,1,3,No,No,No,No,No
PG-13,Action|Mystery|Sci-Fi,7.0999999,59.0,402365,144800000.0,225.0,1824.0,0,0,No,No,No,No,No
R,Drama|Mystery|Romance,7.69999981,76.0,63994,6170000.0,186.0,4003.0,0,8,No,No,No,No,No
R,Action|Adventure|Biography,5.5,39.0,141884,34290000.0,245.0,1620.0,0,0,No,No,No,No,No
PG,Animation|Adventure|Family,8.19999981,80.0,227522,4710000.0,215.0,1044.0,4,7,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.0999999,72.0,244354,200070000.0,431.0,806.0,0,3,No,No,No,No,No
R,Comedy,6.80000019,30.0,77646,16100000.0,91.0,1801.0,0,0,No,No,No,No,No
PG,Comedy|Family,5.80000019,46.0,77474,138610000.0,104.0,2238.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Drama,6.30000019,46.0,139827,51880000.0,171.0,852.0,1,1,No,No,No,No,No
PG-13,Crime|Thriller,6.5,58.0,293417,125530000.0,196.0,498.0,1,3,No,No,No,No,No
PG-13,Biography|Drama|Music,7.69999981,73.0,113740,75305995.0,207.0,3084.0,12,26,No,Yes,No,Yes,No
PG,Animation|Adventure|Comedy,6.9000001,57.0,278169,193140000.0,180.0,1595.0,0,4,No,No,No,No,No
,Drama|History,8.10000038,82.0,18588,,93.0,,0,0,No,No,No,No,No
PG-13,Action|Crime,6.19999981,44.0,54749,45860000.0,117.0,1910.0,0,0,No,No,No,No,No
PG-13,Biography|Drama|Sport,8.0,69.0,152076,61640000.0,201.0,1967.0,4,15,No,No,No,No,No
PG-13,Action|Adventure|Comedy,5.9000001,51.0,100722,37900000.0,235.0,2273.0,0,0,No,No,No,No,No
R,Comedy,6.5999999,45.0,165885,17720000.0,92.0,795.0,0,0,No,No,No,No,No
PG,Comedy|Family|Romance,5.9000001,25.0,65358,51430000.0,68.0,927.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.30000019,56.0,50844,6060000.0,141.0,1889.0,1,4,No,No,No,No,No
PG-13,Action|Comedy|Crime,6.5,55.0,361385,186340000.0,230.0,1582.0,0,2,No,No,No,No,No
PG-13,Comedy,7.19999981,63.0,275291,84140000.0,180.0,1695.0,0,1,No,No,No,No,No
PG,Animation|Adventure|Comedy,6.30000019,64.0,106559,128200000.0,162.0,2008.0,0,2,No,No,No,No,No
PG-13,Biography|Drama|Music,7.9000001,72.0,192695,119520000.0,288.0,694.0,17,27,No,No,No,No,Yes
PG,Adventure|Comedy|Drama,7.30000019,54.0,244276,58230000.0,363.0,1011.0,0,1,No,No,No,No,No
R,Drama|Fantasy|Horror,6.9000001,50.0,242257,75500000.0,284.0,1697.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Drama,7.19999981,81.0,323522,218050000.0,446.0,940.0,7,27,No,No,No,No,No
R,Adventure|Drama|War,8.30000019,69.0,928117,120520000.0,492.0,200.0,26,64,No,Yes,No,No,No
PG-13,Comedy|Drama|Romance,7.30000019,55.0,315946,77030000.0,152.0,1570.0,2,2,No,No,No,No,No
R,Biography|Drama|Romance,7.0999999,79.0,43265,10210000.0,189.0,4848.0,1,21,No,No,No,No,No
R,Adventure|Comedy|Drama,7.30000019,62.0,144255,24010000.0,261.0,1446.0,1,4,No,No,No,No,No
R,Biography|Drama|History,8.30000019,82.0,259483,5500000.0,199.0,877.0,4,6,No,No,No,No,No
R,Action|Horror|Thriller,7.4000001,59.0,199440,58890000.0,286.0,1575.0,0,3,No,No,No,No,No
PG,Adventure|Family|Fantasy,6.9000001,75.0,297403,291710000.0,282.0,618.0,5,16,No,No,No,No,No
R,Crime|Mystery|Thriller,6.19999981,38.0,66966,32680000.0,142.0,1610.0,0,0,No,No,No,No,No
PG-13,Comedy|Sport,6.69999981,55.0,190410,114320000.0,191.0,1297.0,0,0,No,No,No,No,No
R,Drama|Thriller,7.0,76.0,112008,50820000.0,356.0,2877.0,3,13,No,No,No,No,No
PG,Animation|Comedy|Family,6.5,77.0,138325,197990000.0,203.0,2544.0,4,13,No,No,No,No,No
R,Adventure|Comedy,7.0999999,64.0,158629,18230000.0,150.0,1983.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.4000001,82.0,61824,7360000.0,122.0,,7,22,No,No,No,No,No
PG,Adventure|Comedy|Family,6.69999981,72.0,333750,206460000.0,272.0,607.0,3,17,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,6.19999981,65.0,344036,317010000.0,472.0,660.0,0,9,No,No,No,No,No
R,Drama,3.5,,32502,,70.0,990.0,0,0,No,No,No,No,No
PG-13,Drama|Mystery|Thriller,6.5,44.0,198455,114200000.0,262.0,442.0,0,2,No,No,No,No,No
R,Biography|Drama|Music,7.0,73.0,49428,4000000.0,233.0,3364.0,2,13,No,No,No,No,No
PG,Action|Adventure|Family,6.9000001,39.0,260609,173010000.0,192.0,1564.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.5999999,71.0,301264,100000000.0,296.0,1356.0,4,23,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,7.0,59.0,439876,652180000.0,652.0,237.0,1,12,No,No,No,No,No
PG-13,Biography|Drama|Romance,8.10000038,74.0,66451,2090000.0,156.0,3978.0,2,5,No,No,No,No,No
PG-13,Action|Horror|Sci-Fi,5.5999999,29.0,147853,80280000.0,245.0,1578.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.4000001,48.0,67001,42040000.0,124.0,1048.0,0,2,No,No,No,No,No
PG,Adventure|Comedy|Sci-Fi,6.80000019,63.0,159825,51020000.0,277.0,836.0,0,1,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,7.9000001,79.0,720219,318300000.0,489.0,478.0,1,13,No,No,No,No,No
PG-13,Action|Mystery|Thriller,7.80000019,73.0,364203,176050000.0,238.0,1505.0,0,3,No,No,No,No,No
PG-13,Comedy|Romance,6.0999999,32.0,39623,31590000.0,102.0,2251.0,0,0,No,No,No,No,No
PG-13,Action|Adventure,8.30000019,70.0,1021111,205340000.0,473.0,323.0,1,14,No,No,No,No,No
PG-13,Drama|Music,7.9000001,56.0,45823,3630000.0,112.0,,0,5,No,No,No,No,No
R,Comedy|Crime|Mystery,7.5999999,72.0,181413,4240000.0,224.0,2092.0,0,3,No,No,No,No,No
PG-13,Adventure|Family|Fantasy,7.5,71.0,373912,292000000.0,332.0,488.0,1,10,No,No,No,No,No
PG,Comedy,6.9000001,64.0,165403,44540000.0,220.0,1334.0,0,3,No,No,No,No,No
R,Comedy|Drama|Romance,7.5,94.0,153557,71502303.0,283.0,2536.0,30,60,No,Yes,No,No,No
R,Crime|Drama|Thriller,7.80000019,69.0,368775,54560000.0,284.0,526.0,15,46,Yes,Yes,No,No,No
R,Drama|Romance,7.30000019,65.0,171899,33990000.0,211.0,1088.0,5,23,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,6.69999981,58.0,395539,234360000.0,331.0,1420.0,1,5,No,No,No,No,No
PG-13,Comedy,7.0,66.0,255717,86050000.0,161.0,394.0,0,5,No,No,No,No,No
PG-13,Horror|Mystery|Sci-Fi,5.4000001,44.0,73699,75890000.0,196.0,1868.0,0,0,No,No,No,No,No
R,Action|Crime|Drama,8.0,83.0,530176,66210000.0,305.0,1349.0,1,16,No,No,No,No,No
R,Biography|Crime|Drama,7.4000001,88.0,103895,28747570.0,271.0,2929.0,16,39,No,Yes,No,Yes,No
PG-13,Action|Adventure|Sci-Fi,8.0,74.0,248181,25340000.0,274.0,1024.0,1,2,No,No,No,No,No
PG-13,Drama|Fantasy|Thriller,6.69999981,42.0,128300,43980000.0,310.0,1155.0,2,15,No,No,No,No,No
PG-13,Action|Adventure|Thriller,8.0,80.0,485719,167010000.0,399.0,609.0,3,15,No,No,No,No,No
R,Drama|Romance,8.0,90.0,175268,5790000.0,216.0,2426.0,2,11,No,No,No,No,No
PG-13,Comedy|Crime,5.5,41.0,102225,69150000.0,61.0,709.0,0,0,No,No,No,No,No
R,Adventure|Crime|Drama,7.69999981,76.0,243878,53570000.0,295.0,1467.0,0,6,No,No,No,No,No
,Comedy|Drama|Music,7.5999999,,13900,10000.0,34.0,,0,0,No,No,No,No,No
PG-13,Mystery|Thriller,6.5999999,46.0,329979,217540000.0,301.0,929.0,0,4,No,No,No,No,No
G,Animation|Comedy|Family,8.0,96.0,491643,206440000.0,320.0,921.0,11,22,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.30000019,53.0,539213,423030000.0,312.0,814.0,7,21,No,No,No,No,No
R,Crime|Drama,7.69999981,83.0,20719,3750000.0,168.0,,10,25,No,No,No,No,No
PG-13,Comedy,6.5,47.0,107920,36300000.0,111.0,1771.0,0,0,No,No,No,No,No
R,Drama|Horror|Mystery,6.0,33.0,83807,64260000.0,182.0,2118.0,0,0,No,No,No,No,No
R,Crime|Drama|Sport,7.5,55.0,121088,340000.0,78.0,2054.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Drama,7.5999999,89.0,94503,11040000.0,247.0,3837.0,5,30,No,No,No,No,No
PG-13,Adventure|Family|Fantasy,6.0999999,51.0,152755,70080000.0,250.0,1608.0,3,6,No,No,No,No,No
PG,Animation|Comedy|Family,6.5999999,68.0,75188,73660000.0,190.0,3336.0,1,7,No,No,No,No,No
PG-13,Comedy|Romance,6.5999999,58.0,251257,177580000.0,171.0,2111.0,0,3,No,No,No,No,No
R,Drama|Mystery|Romance,7.5,82.0,114432,33570000.0,227.0,3412.0,8,35,No,No,No,No,No
R,Horror|Mystery|Thriller,7.69999981,46.0,309265,55150000.0,287.0,995.0,0,0,No,No,No,No,No
R,Adventure|Comedy|Sci-Fi,6.5999999,66.0,112655,440000.0,125.0,519.0,0,0,No,No,No,No,No
R,Crime|Drama|Mystery,5.5999999,49.0,64465,22520000.0,240.0,2858.0,1,1,No,No,No,No,No
R,Drama|Romance,7.69999981,87.0,266587,83030000.0,354.0,738.0,39,77,No,Yes,Yes,No,No
PG,Animation|Adventure|Comedy,6.19999981,54.0,110122,126600000.0,194.0,668.0,0,3,No,No,No,No,No
PG-13,Comedy|Drama|Fantasy,6.4000001,45.0,253570,137340000.0,171.0,1735.0,1,1,No,No,No,No,No
R,Crime|Drama,7.5,87.0,30997,6520000.0,154.0,,6,14,No,No,No,No,No
PG-13,Biography|Drama|History,8.10000038,79.0,275466,23470000.0,186.0,2655.0,0,18,No,No,No,No,No
R,Crime|Horror,6.9000001,53.0,78555,16900000.0,264.0,1641.0,0,0,No,No,No,No,No
PG,Action|Comedy|Drama,5.5,30.0,69151,113010000.0,126.0,1545.0,0,0,No,No,No,No,No
R,Drama,7.30000019,68.0,33671,18320000.0,154.0,4328.0,1,9,No,No,No,No,No
R,Crime|Drama|Fantasy,7.5,56.0,195889,2210000.0,227.0,1527.0,0,1,No,No,No,No,No
R,Comedy|Romance,7.0,64.0,286038,209220000.0,186.0,758.0,3,5,No,No,No,No,No
R,Horror,5.30000019,41.0,96828,32050000.0,227.0,1712.0,0,0,No,No,No,No,No
PG-13,Drama|Romance,7.30000019,54.0,121851,57010000.0,226.0,1961.0,10,22,No,No,No,No,No
PG,Animation|Adventure|Comedy,6.9000001,67.0,151440,114050000.0,226.0,1437.0,0,6,No,No,No,No,No
PG-13,Comedy|Crime|Sport,6.4000001,48.0,133979,158120000.0,134.0,2061.0,0,3,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.80000019,71.0,307108,200810000.0,325.0,704.0,0,8,No,No,No,No,No
PG,Adventure|Drama|Family,7.19999981,74.0,114494,82230000.0,180.0,1257.0,0,2,No,No,No,No,No
R,Crime|Drama|Thriller,7.5,81.0,191672,31490000.0,442.0,1928.0,8,33,No,No,No,No,No
PG-13,Action|Adventure|Romance,6.9000001,50.0,268365,35800000.0,255.0,1679.0,1,1,No,No,No,No,No
PG-13,Biography|Drama,8.0,92.0,91921,5990000.0,260.0,3527.0,10,34,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.9000001,47.0,73194,7460000.0,148.0,1830.0,0,1,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.5999999,51.0,216838,73060000.0,463.0,516.0,0,0,No,No,No,No,No
R,Crime|Thriller,8.0,74.0,675121,74100000.0,374.0,624.0,8,12,No,No,No,No,No
R,Action|Adventure|Fantasy,6.80000019,36.0,162103,62320000.0,205.0,967.0,0,0,No,No,No,No,No
PG-13,Biography|Drama|History,6.69999981,69.0,72432,12710000.0,221.0,1947.0,0,9,No,No,No,No,No
PG,Comedy|Drama|Family,6.5,66.0,46136,39010000.0,87.0,822.0,0,0,No,No,No,No,No
R,Drama|Romance,7.5999999,75.0,94414,5460000.0,251.0,2479.0,3,21,No,No,No,No,No
R,Drama|Thriller,8.5,89.0,272075,11280000.0,215.0,828.0,5,13,No,No,No,No,No
PG-13,Drama|Sport,8.10000038,86.0,501680,100420000.0,267.0,1044.0,9,32,Yes,Yes,Yes,No,Yes
PG,Adventure|Comedy|Family,6.19999981,62.0,63543,63940000.0,127.0,1128.0,0,0,No,No,No,No,No
R,Comedy|Romance,7.0999999,73.0,322104,109240000.0,214.0,676.0,3,9,No,No,No,No,No
PG,Action|Adventure|Comedy,6.0999999,67.0,70313,28050000.0,135.0,2143.0,1,1,No,No,No,No,No
R,Adventure|Comedy|Drama,7.4000001,66.0,36922,9010000.0,170.0,,2,10,No,No,No,No,No
PG-13,Adventure|Sci-Fi|Thriller,6.5,73.0,344528,234280000.0,397.0,958.0,2,6,No,No,No,No,No
R,Crime|Drama|Thriller,8.5,85.0,910945,132370000.0,353.0,129.0,17,62,Yes,Yes,Yes,No,No
R,Drama|Horror|Musical,7.4000001,83.0,291007,52880000.0,384.0,924.0,5,22,No,No,No,No,No
R,Drama|Thriller,7.5999999,74.0,180785,47380000.0,298.0,1956.0,1,28,No,Yes,No,No,No
PG-13,Action|Adventure|Drama,5.5999999,50.0,84100,60660000.0,229.0,2431.0,0,0,No,No,No,No,No
R,Action|Drama|Mystery,7.5999999,56.0,402967,107500000.0,452.0,388.0,1,2,No,No,No,No,No
R,Crime|Drama|Music,7.4000001,68.0,34222,22200000.0,156.0,4267.0,2,10,No,No,No,No,No
PG,Drama|Fantasy|Romance,6.80000019,52.0,116909,52320000.0,175.0,1571.0,1,1,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.0,78.0,213162,75750000.0,347.0,835.0,0,4,No,No,No,No,No
R,Comedy|Drama|Music,7.0999999,71.0,13756,11030000.0,137.0,,1,18,No,No,No,No,No
PG-13,Action|Adventure,6.19999981,59.0,396230,336530000.0,392.0,777.0,0,3,No,No,No,No,No
PG-13,Biography|Drama|History,6.9000001,45.0,56387,16260000.0,200.0,2670.0,0,10,No,No,No,No,No
PG,Drama|Romance,7.80000019,82.0,200254,38370000.0,176.0,472.0,4,23,No,No,No,No,No
PG-13,Drama|Sci-Fi,7.30000019,51.0,195816,10140000.0,273.0,1588.0,1,8,No,No,No,No,No
R,Adventure|Biography|Drama,7.30000019,74.0,38515,5700000.0,160.0,,0,1,No,No,No,No,No
R,Drama|Romance|Thriller,7.69999981,72.0,171953,23090000.0,280.0,1624.0,0,7,No,No,No,No,No
R,Action|Fantasy,7.69999981,52.0,625098,210590000.0,456.0,492.0,0,6,No,No,No,No,No
PG,Adventure|Family|Fantasy,7.5,78.0,339955,301960000.0,380.0,692.0,0,9,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,7.0999999,61.0,523342,318760000.0,395.0,552.0,2,7,No,No,No,No,No
R,Drama|History|War,7.0999999,79.0,103727,33570000.0,276.0,3013.0,1,6,No,No,No,No,No
R,Action|Drama|War,7.0999999,58.0,147149,62650000.0,261.0,1799.0,4,5,No,No,No,No,No
R,Comedy|Drama,7.0,80.0,19448,2680000.0,138.0,,2,8,No,No,No,No,No
R,Drama,7.80000019,,1945,,11.0,,0,0,No,No,No,No,No
PG-13,Drama,7.5999999,61.0,69543,15800000.0,201.0,2983.0,1,8,No,No,No,No,No
PG-13,Drama|Fantasy|Romance,7.80000019,70.0,474130,127490000.0,364.0,674.0,14,64,No,Yes,No,No,No
PG-13,Biography|Drama|History,6.4000001,65.0,82221,15960000.0,262.0,888.0,1,8,No,No,No,No,No
PG,Animation|Comedy|Family,6.69999981,64.0,55793,58870000.0,152.0,4556.0,0,2,No,No,No,No,No
R,Crime|Drama|Thriller,7.0999999,58.0,135011,1010000.0,229.0,842.0,1,2,No,No,No,No,No
PG-13,Drama|History|Music,7.80000019,70.0,22450,1050000.0,118.0,,0,2,No,No,No,No,No
R,Action|Comedy|Mystery,7.9000001,81.0,364391,23620000.0,284.0,823.0,0,0,No,No,No,No,No
R,Crime|Drama|Mystery,7.80000019,53.0,268043,22490000.0,200.0,1343.0,0,0,No,No,No,No,No
,Biography|Crime|Drama,7.69999981,76.0,22881,680000.0,129.0,,0,0,No,No,No,No,No
R,Biography|Crime|Drama,6.9000001,53.0,89472,15230000.0,96.0,1408.0,0,1,No,No,No,No,No
PG,Drama|Music,7.5,38.0,89560,31660000.0,146.0,1809.0,0,2,No,No,No,No,No
PG-13,Comedy|Romance,5.5999999,47.0,60052,88660000.0,140.0,2007.0,0,1,No,No,No,No,No
PG,Comedy|Drama|Family,6.69999981,81.0,101230,118820000.0,218.0,1336.0,5,21,No,No,No,No,No
PG-13,Action|Adventure|Comedy,6.80000019,47.0,215789,77210000.0,313.0,711.0,0,0,No,No,No,No,No
R,Action|Crime|Drama,6.9000001,49.0,112752,74480000.0,123.0,1788.0,0,1,No,No,No,No,No
PG-13,Drama|Romance,7.0999999,39.0,173521,53680000.0,130.0,855.0,0,0,No,No,No,No,No
R,Action|Horror|Sci-Fi,6.30000019,41.0,153845,50650000.0,215.0,427.0,0,0,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.80000019,83.0,145269,21000000.0,338.0,1669.0,4,18,No,No,No,No,No
PG-13,Action|Drama|Family,7.0999999,56.0,260321,85460000.0,328.0,1480.0,0,0,No,No,No,No,No
PG,Biography|Drama|History,7.5,80.0,85295,31501218.0,351.0,4714.0,8,51,No,Yes,No,No,No
R,Action|Drama|Thriller,8.19999981,62.0,825043,70500000.0,523.0,460.0,0,2,No,No,No,No,No
PG-13,Drama|Romance|Sci-Fi,6.5,47.0,91081,45090000.0,198.0,785.0,0,2,No,No,No,No,No
G,Animation|Adventure|Comedy,8.30000019,92.0,569305,414980000.0,455.0,1133.0,15,35,No,Yes,No,No,No
PG-13,Biography|Drama,7.30000019,,87829,56437947.0,278.0,2258.0,22,57,No,Yes,No,No,Yes
PG-13,Action|Adventure|Sci-Fi,6.5999999,49.0,292569,125320000.0,425.0,1708.0,0,0,No,No,No,No,No
PG-13,Action|Mystery|Thriller,8.10000038,85.0,513043,227140000.0,328.0,1302.0,7,18,No,No,No,No,No
PG,Animation|Action|Adventure,7.5999999,73.0,320314,215400000.0,266.0,1750.0,0,10,No,No,No,No,No
R,Comedy|Crime|Drama,7.5999999,84.0,79297,12900000.0,230.0,3732.0,1,21,No,No,No,No,No
PG-13,Animation|Action|Adventure,6.19999981,59.0,144884,82160000.0,286.0,1807.0,0,2,No,No,No,No,No
PG-13,Biography|Drama|History,7.4000001,86.0,203189,182200000.0,540.0,772.0,19,74,No,Yes,No,Yes,No
R,Drama|Mystery,6.5,52.0,2112,30000.0,27.0,,0,0,No,No,No,No,No
R,Comedy,7.30000019,89.0,304596,128510000.0,345.0,2411.0,4,12,No,No,No,No,No
PG-13,Drama|Music|Musical,6.5,76.0,57655,103338338.0,238.0,2605.0,19,50,No,No,No,No,No
PG-13,Drama|Mystery|Romance,7.5999999,68.0,304063,39830000.0,235.0,1415.0,1,3,No,No,No,No,No
R,Biography|Crime|Drama,7.5,68.0,140232,3900000.0,273.0,1264.0,1,17,No,No,No,No,No
R,Crime|Drama|History,7.69999981,78.0,318164,33050000.0,380.0,648.0,0,14,No,No,No,No,No
R,Drama|War,7.0999999,82.0,12360,320000.0,94.0,,0,1,No,No,No,No,No
PG-13,Crime|Drama|Thriller,7.5,71.0,19942,1450000.0,122.0,,1,3,No,No,No,No,No
