certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
R,Comedy,6.5,49.0,190379,90570000.0,154.0,2501.0,0,0,No,No,No,No,No
R,Biography|Drama,7.0,77.0,23585,8600000.0,114.0,,1,2,No,No,No,No,No
PG-13,Action|Adventure|Romance,6.9000001,54.0,140668,56080000.0,165.0,1236.0,1,1,No,No,No,No,No
R,Comedy|Drama,7.4000001,73.0,55707,19390000.0,172.0,,9,30,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,2.4000001,9.0,66552,21470000.0,173.0,1982.0,0,0,No,No,No,No,No
PG-13,Comedy|Fantasy,5.30000019,38.0,82544,39440000.0,86.0,2772.0,0,0,No,No,No,No,No
PG-13,Crime|Drama|Mystery,7.4000001,67.0,84574,44980000.0,170.0,2283.0,0,2,No,No,No,No,No
PG-13,Action|Adventure|Thriller,6.4000001,73.0,61837,90450000.0,166.0,3244.0,0,0,No,No,No,No,No
PG-13,Action|Crime|Thriller,6.5,35.0,223486,101640000.0,175.0,1388.0,0,0,No,No,No,No,No
R,Action|Drama|History,7.0999999,63.0,213438,113330000.0,190.0,884.0,0,2,No,No,No,No,No
R,Action|Horror|Sci-Fi,6.69999981,52.0,164050,81650000.0,224.0,1700.0,0,0,No,No,No,No,No
R,Drama|Horror,6.9000001,71.0,34859,8280000.0,199.0,,3,8,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.9000001,93.0,221957,128070000.0,288.0,2121.0,28,66,No,Yes,No,No,No
PG-13,Adventure|Comedy|Crime,7.80000019,69.0,232646,45510000.0,201.0,970.0,1,11,No,No,No,No,No
PG-13,Biography|Drama|Romance,6.5999999,44.0,6463,50000.0,31.0,,0,0,No,No,No,No,No
PG-13,Action|Adventure|Drama,5.9000001,48.0,50576,68470000.0,131.0,2228.0,0,1,No,No,No,No,No
PG-13,Comedy|Sport,6.5,30.0,49276,44740000.0,119.0,699.0,0,0,No,No,No,No,No
R,Biography|Drama,7.30000019,73.0,139323,125550000.0,166.0,1230.0,13,38,No,Yes,No,No,Yes
R,Horror|Thriller,6.69999981,36.0,186452,53300000.0,211.0,1432.0,0,0,No,No,No,No,No
PG-13,Comedy,6.5999999,61.0,207208,45160000.0,135.0,1460.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.80000019,30.0,27563,33770000.0,78.0,2755.0,0,0,No,No,No,No,No
G,Animation|Adventure|Comedy,8.10000038,78.0,614220,289910000.0,249.0,1023.0,1,8,No,No,No,No,No
